
PHP CODE SNIFFER REPORT SUMMARY
--------------------------------------------------------------------------------
FILE                                                            ERRORS  WARNINGS
--------------------------------------------------------------------------------
...a\wp-content\plugins\shahi-legalflowsuite\postcss.config.js  1       0
...a\wp-content\plugins\shahi-legalflowsuite\webpack.config.js  1       0
...ugins\shahi-legalflowsuite\assets\css\admin-consent.min.css  0       1
...shahi-legalflowsuite\assets\css\admin-dashboard-new.min.css  0       1
...ins\shahi-legalflowsuite\assets\css\admin-dashboard.min.css  0       1
...\shahi-legalflowsuite\assets\css\admin-dsr-settings.min.css  0       1
...lugins\shahi-legalflowsuite\assets\css\admin-global.min.css  0       1
...s\shahi-legalflowsuite\assets\css\admin-modules-new.min.css  0       1
...ugins\shahi-legalflowsuite\assets\css\admin-modules.min.css  0       1
...gins\shahi-legalflowsuite\assets\css\admin-settings.min.css  0       1
...\plugins\shahi-legalflowsuite\assets\css\animations.min.css  0       1
...-legalflowsuite\assets\css\compliance-ops-dashboard.min.css  0       1
...\plugins\shahi-legalflowsuite\assets\css\components.min.css  0       1
...plugins\shahi-legalflowsuite\assets\css\config-sync.min.css  0       1
...gins\shahi-legalflowsuite\assets\css\consent-banner.min.css  0       1
...i-legalflowsuite\assets\css\consent-preferences-rtl.min.css  0       1
...shahi-legalflowsuite\assets\css\consent-preferences.min.css  0       1
...plugins\shahi-legalflowsuite\assets\css\consent-rtl.min.css  0       1
...i-legalflowsuite\assets\css\consent-ui-enhancements.min.css  0       1
...s\shahi-legalflowsuite\assets\css\document-generate.min.css  0       1
...lugins\shahi-legalflowsuite\assets\css\document-hub.min.css  0       1
...shahi-legalflowsuite\assets\css\dsr-consent-history.min.css  0       1
...nt\plugins\shahi-legalflowsuite\assets\css\dsr-form.min.css  0       1
...\plugins\shahi-legalflowsuite\assets\css\dsr-modern.min.css  0       1
...\plugins\shahi-legalflowsuite\assets\css\dsr-status.min.css  0       1
...ns\shahi-legalflowsuite\assets\css\legal-acceptance.min.css  0       1
...\plugins\shahi-legalflowsuite\assets\css\onboarding.min.css  0       1
...\plugins\shahi-legalflowsuite\assets\css\pdf-styles.min.css  0       1
...gins\shahi-legalflowsuite\assets\css\profile-wizard.min.css  0       1
...ins\shahi-legalflowsuite\assets\css\slos-a11y-fixes.min.css  0       1
...legalflowsuite\assets\css\slos-accessibility-widget.min.css  0       1
...flowsuite\assets\css\slos-browser-a11y-enhancements.min.css  0       1
...plugins\shahi-legalflowsuite\assets\css\slos-charts.min.css  0       1
...ins\shahi-legalflowsuite\assets\css\slos-components.min.css  0       1
...\shahi-legalflowsuite\assets\css\slos-design-system.min.css  0       1
...\shahi-legalflowsuite\assets\css\slos-scanner-admin.min.css  0       1
...t\plugins\shahi-legalflowsuite\assets\css\utilities.min.css  0       1
...ins\shahi-legalflowsuite\assets\css\version-history.min.css  0       1
...lugins\shahi-legalflowsuite\assets\js\admin-consent-logs.js  657     25
...ent\plugins\shahi-legalflowsuite\assets\js\admin-consent.js  448     20
...plugins\shahi-legalflowsuite\assets\js\admin-consent.min.js  448     21
...t\plugins\shahi-legalflowsuite\assets\js\admin-dashboard.js  13      0
...ugins\shahi-legalflowsuite\assets\js\admin-dashboard.min.js  1       0
...ugins\shahi-legalflowsuite\assets\js\admin-export-import.js  186     10
...tent\plugins\shahi-legalflowsuite\assets\js\admin-global.js  7       0
...\plugins\shahi-legalflowsuite\assets\js\admin-global.min.js  1       0
...ns\shahi-legalflowsuite\assets\js\admin-module-dashboard.js  980     78
...hahi-legalflowsuite\assets\js\admin-module-dashboard.min.js  980     78
...ent\plugins\shahi-legalflowsuite\assets\js\admin-modules.js  200     8
...plugins\shahi-legalflowsuite\assets\js\admin-modules.min.js  175     11
...nt\plugins\shahi-legalflowsuite\assets\js\admin-settings.js  12      0
...lugins\shahi-legalflowsuite\assets\js\admin-settings.min.js  0       1
...\wp-content\plugins\shahi-legalflowsuite\assets\js\admin.js  3       0
...ntent\plugins\shahi-legalflowsuite\assets\js\ajax-helper.js  5       0
...t\plugins\shahi-legalflowsuite\assets\js\ajax-helper.min.js  1       0
...\plugins\shahi-legalflowsuite\assets\js\analytics-charts.js  7       0
...gins\shahi-legalflowsuite\assets\js\analytics-charts.min.js  1       0
...ent\plugins\shahi-legalflowsuite\assets\js\chart.umd.min.js  0       1
...plugins\shahi-legalflowsuite\assets\js\compliance-charts.js  121     9
...ontent\plugins\shahi-legalflowsuite\assets\js\components.js  11      0
...nt\plugins\shahi-legalflowsuite\assets\js\components.min.js  1       0
...ntent\plugins\shahi-legalflowsuite\assets\js\config-sync.js  33      0
...nt\plugins\shahi-legalflowsuite\assets\js\consent-banner.js  1635    133
...t\plugins\shahi-legalflowsuite\assets\js\consent-blocker.js  1       0
...gins\shahi-legalflowsuite\assets\js\consent-placeholders.js  272     25
...ugins\shahi-legalflowsuite\assets\js\consent-preferences.js  677     77
...t\plugins\shahi-legalflowsuite\assets\js\consent-signals.js  1       0
...nt\plugins\shahi-legalflowsuite\assets\js\cookie-scanner.js  51      2
...plugins\shahi-legalflowsuite\assets\js\document-generate.js  2070    130
...tent\plugins\shahi-legalflowsuite\assets\js\document-hub.js  30      0
...-content\plugins\shahi-legalflowsuite\assets\js\dsr-form.js  34      0
...ontent\plugins\shahi-legalflowsuite\assets\js\dsr-modern.js  27      0
...ontent\plugins\shahi-legalflowsuite\assets\js\dsr-status.js  141     22
...-content\plugins\shahi-legalflowsuite\assets\js\frontend.js  3       0
...\plugins\shahi-legalflowsuite\assets\js\legal-acceptance.js  30      0
...ontent\plugins\shahi-legalflowsuite\assets\js\onboarding.js  34      0
...nt\plugins\shahi-legalflowsuite\assets\js\onboarding.min.js  1       0
...nt\plugins\shahi-legalflowsuite\assets\js\profile-wizard.js  854     43
...t\plugins\shahi-legalflowsuite\assets\js\slos-a11y-fixes.js  611     33
...shahi-legalflowsuite\assets\js\slos-accessibility-widget.js  564     23
...t\plugins\shahi-legalflowsuite\assets\js\slos-animations.js  49      20
...ugins\shahi-legalflowsuite\assets\js\slos-animations.min.js  37      15
...ins\shahi-legalflowsuite\assets\js\slos-autofix-progress.js  926     122
...lugins\shahi-legalflowsuite\assets\js\slos-scan-progress.js  803     86
...lugins\shahi-legalflowsuite\assets\js\slos-scanner-admin.js  1145    76
...t\plugins\shahi-legalflowsuite\assets\js\version-history.js  13      0
...legalflowsuite\assets\js\accessibility-scanner\admin.min.js  1       0
...-legalflowsuite\assets\js\blocks\embed-placeholder-block.js  146     7
...ugins\shahi-legalflowsuite\config\multisite-sync-schema.php  18      0
...t\plugins\shahi-legalflowsuite\config\stage-1-constants.php  62      1
...a\wp-content\plugins\shahi-legalflowsuite\config\themes.php  44      0
...ahi-legalflowsuite\includes\Admin\AccessibilityMainPage.php  0       2
...\shahi-legalflowsuite\includes\Admin\ComplianceMainPage.php  0       2
...egalflowsuite\includes\Admin\Document_Editor_Controller.php  0       2
...lugins\shahi-legalflowsuite\includes\Admin\DSR_Settings.php  1       1
...plugins\shahi-legalflowsuite\includes\Admin\DSRMainPage.php  0       2
...ns\shahi-legalflowsuite\includes\Admin\DSRRequestDetail.php  19      5
...plugins\shahi-legalflowsuite\includes\Admin\MenuManager.php  3       3
...ins\shahi-legalflowsuite\includes\Admin\ModuleDashboard.php  61      0
...ent\plugins\shahi-legalflowsuite\includes\Admin\Modules.php  0       4
...alflowsuite\includes\Admin\Network_Compliance_Dashboard.php  2       0
...\plugins\shahi-legalflowsuite\includes\Admin\Onboarding.php  16      13
...gins\shahi-legalflowsuite\includes\Admin\Profile_Wizard.php  0       4
...nt\plugins\shahi-legalflowsuite\includes\Admin\Settings.php  125     12
...lugins\shahi-legalflowsuite\includes\Admin\ThemeManager.php  8       0
...\plugins\shahi-legalflowsuite\includes\Ajax\AjaxHandler.php  6       0
...lugins\shahi-legalflowsuite\includes\Ajax\AnalyticsAjax.php  34      14
...ahi-legalflowsuite\includes\Ajax\Compliance_Export_Ajax.php  0       10
...lugins\shahi-legalflowsuite\includes\Ajax\DashboardAjax.php  6       11
...t\plugins\shahi-legalflowsuite\includes\Ajax\ModuleAjax.php  28      4
...ugins\shahi-legalflowsuite\includes\Ajax\OnboardingAjax.php  27      4
...plugins\shahi-legalflowsuite\includes\Ajax\SettingsAjax.php  24      4
...s\shahi-legalflowsuite\includes\API\AnalyticsController.php  15      19
